product_name,product_description,product_rating,product_price,regular_price,product_url
Tołpa Estetic,"krem rozjaśniający przebarwienia, 40 ml",(22),38.49,54.99,/tolpa-krem-rozjasniajacy-przebarwienia-40-ml-000000000000300118.html
Bandi Boost Care,"krem przeciwzmarszczkowy z kolagenem i elastyną, 50 ml",(18),49.99,49.99,/bandi-krem-przeciwzmarszczkowy-z-kolagenem-i-elastyna-50-ml-000000000000301912.html
Nacomi Next Level,"krem do twarzy SPF50 holiday, 50 ml",(111),23.99,39.99,/nacomi-krem-do-twarzy-spf50-holiday-50-ml-000000000000385251.html
Altruist Invisible Sunspray,"niewidoczny spray przeciwsłoneczny SPF50, 200 ml",,54.0,54.0,/altruist-niewidoczny-spray-przeciwsloneczny-spf50-200-ml-54009305.html
Bielenda Eco Sorbet,"krem nawilżający do twarzy, 50 ml",(151),18.89,25.99,/bielenda-krem-nawilzajacy-do-twarzy-50-ml-000000000000383621.html
Basiclab Complementis,"trehalozowy krem przywracający równowagę do twarzy, 50 ml",(5),87.99,109.99,/basiclab-trehalozowy-krem-przywracajacy-rownowage-do-twarzy-50-ml-000000000000435405.html
Eveline Cosmetics,"nawilżający krem z SPF50 do twarzy, 30 ml",(10),34.99,34.99,/eveline-cosmetics-nawilzajacy-krem-z-spf50-do-twarzy-30-ml-000000000000447778.html
Nivea Sun,"matujący krem do twarzy z SPF30, 50 ml",(5),38.29,38.29,/nivea-matujacy-krem-do-twarzy-z-spf30-50-ml-000000000000357030.html
Ziaja,"aktywny krem BB do twarzy na niedoskonałości dla skóry normalnej i suchej SPF15 naturalny, 50 ml",(37),11.99,11.99,/ziaja-aktywny-krem-do-twarzy-na-niedoskonalosci-spf-15-50ml-000000000000260329.html
Bioderma Sébium Hydra,"nawilżający krem do skóry tłustej i ze skłonnością do trądziku, 40 ml",(15),53.99,89.99,/bioderma-nawilzajacy-krem-do-skory-tlustej-ze-sklonnoscia-do-tradziku-30ml-000000000000225316.html
Bandi Anti Acne,"multiaktywny krem BB do twarzy, 50 ml",(71),39.99,49.99,/bandi-krem-do-twarzy-50ml-000000000000281891.html
Tołpa Dermo Men Anti Age,"krem przeciw oznakom starzenia, lekki, 40 ml",(10),22.99,38.99,/tolpa-krem-przeciwzmarszczkowy-do-twarzy-dla-mezczyzn-40-40ml-000000000000268094.html
Tołpa Dermo Face Hydrativ,"lekki nawilżający krem odprężający na noc, 40 ml",(42),27.99,39.99,/tolpa-nawilzajacy-lekki-krem-do-twarzy-na-dzien-40ml-000000000000226627.html
Cetaphil MD Dermoprotektor,"balsam nawilżający do twarzy i ciała, 236 ml",(42),58.99,58.99,/cetaphil-balsam-do-twarzy-236ml-000000000000357847.html
Uzdrovisco,"brązujący krem nawadniający do twarzy i ciała, 170 ml",(3),79.99,79.99,/uzdrovisco-brazujacy-krem-nawadniajacy-do-twarzy-i-ciala-170-ml-000000000000463516.html
Cosrx,"przeciwsłoneczny krem z SPF50+ PA+++ do twarzy, 50 ml",(3),59.99,59.99,/cosrx-przeciwsloneczny-krem-z-spf50-pa-do-twarzy-50-ml-000000000000453817.html
Bielenda CBD Cannabidiol,"nawilżająco-detoksykujący krem do twarzy, 50 ml",(5),22.39,31.99,/bielenda-nawilzajaco-detoksykujacy-krem-do-twarzy-50-ml-000000000000362494.html
Ava,"aktywator-krem z kolagenem morskim do twarzy, 50 ml",(20),35.99,35.99,/ava-aktywator-krem-z-kolagenem-morskim-do-twarzy-50-ml-000000000000401335.html
Bioderma Sensibio AR,"aktywny krem do cery naczynkowej, 40 ml",(15),65.99,109.99,/bioderma-krem-do-twarzy-40ml-000000000000225300.html
Bandi Pro Care,"krem z kwasem migdałowym i polihydroksykwasami do twarzy, 50 ml",(48),79.99,79.99,/bandi-krem-z-kwasem-migdalowym-polihydroksykwasami-do-twarzy-50ml-000000000000355278.html
Bergamo Intensive Snake,"przeciwzmarszczkowy krem do twarzy z peptydami jadu węża, 50 ml",(88),62.99,62.99,/bergamo-przeciwzmarszczkowy-krem-do-twarzy-z-peptydami-jadu-weza-50-ml-000000000000262674.html
Bandi Boost Care,"nawilżający krem do twarzy, szyi i dekoltu z kwasem hialuronowym, 50 ml",(40),49.99,49.99,/bandi-nawilzajacy-krem-do-twarzy-szyi-i-dekoltu-z-kwasem-hialuronowym-50-ml-000000000000301913.html
Ziaja Biała Herbata,"nawilżający krem do każdego rodzaju skóry, 50 ml",(66),8.29,8.29,/ziaja-krem-do-twarzy-bionawilzajacy-50ml-000000000000215284.html
Bandi Anti Rouge,"kremowa kuracja na naczynka, 50 ml",(33),54.99,71.99,/bandi-kremowa-kuracja-na-naczynka-50ml-000000000000281638.html
Uzdrovisco,"rozświetlający krem nawadniający do twarzy i ciała, 170 ml",(1),79.99,79.99,/uzdrovisco-rozswietlajacy-krem-nawadniajacy-do-twarzy-i-ciala-170-ml-000000000000463514.html
Bandi Well Aging,"lekka emulsja odmładzająca do twarzy SPF50, 50 ml",(32),59.99,79.99,/bandi-lekka-emulsja-odmladzajaca-do-twarzy-spf50-50-ml-000000000000412780.html
Revuele Ceramide,"nawilżający krem do twarzy, 200 ml",(3),29.99,29.99,/revuele-nawilzajacy-krem-do-twarzy-200-ml-000000000000427913.html
Vichy Neovadiol Po Menopauzie Na Noc,"odbudowujący krem na noc przeciw wiotczeniu skóry, 50 ml",(18),118.99,169.99,/vichy-odbudowujacy-krem-na-noc-przeciw-wiotczeniu-skory-50-ml-000000000000403992.html
Bielenda Professional Sun Protect,"krem do twarzy SPF50, 50 ml",(24),69.99,84.99,/bielenda-professional-krem-do-twarzy-spf50-50-ml-000000000000413838.html
Revuele Ceramide,"nawilżający krem do twarzy z SPF25, 50 ml",(12),24.99,24.99,/revuele-nawilzajacy-krem-do-twarzy-z-spf25-50-ml-000000000000427927.html
Ziaja med Med.,"krem z 15% mocznikiem do stóp, 100 ml",(13),17.99,17.99,/ziaja-med-krem-z-15-mocznikiem-do-stop-100-ml-000000000000387540.html
Tołpa Dermo Face Sebio,"normalizujący krem do twarzy, 40 ml",,25.89,36.99,/tolpa-normalizujacy-krem-do-twarzy-40-ml-000000000000436217.html
Yumi,"wielofunkcyjny żel aloesowy 99%, 200 ml",(35),24.99,24.99,/yumi-wielofunkcyjny-zel-aloesowy-99-200-ml-000000000000401343.html
Nivea Men Creme,"krem do twarzy, ciała i rąk męski, 75 ml",(10),9.99,9.99,/nivea-krem-do-twarzy-ciala-i-rak-meski-75-ml-000000000000267523.html
Bioderma Sensibio Defensive,"krem do twarzy, 40 ml",(25),55.99,79.99,/bioderma-krem-do-twarzy-40-ml-000000000000407547.html
"Orientana Drzewo sandałowe, kurkuma","regenerujący krem do twarzy na dzień i noc, 50 g",(73),32.19,45.99,/orientana-regenerujacy-krem-do-twarzy-na-dzien-i-noc-50-g-000000000000275782.html
Muldream All Green Mild,"nawilżający krem do twarzy, 60 ml",(9),54.99,109.99,/muldream-nawilzajacy-krem-do-twarzy-60-ml-000000000000431013.html
Bielenda Only For Men Barber,"krem nawilżający do twarzy, 50 ml",(6),12.89,21.49,/bielenda-krem-nawilzajacy-do-twarzy-50-ml-000000000000405220.html
Eveline Cosmetics Men X-Treme,"multifunkcyjny krem ekstremalnie nawilżający do twarzy i ciała męski, 200 ml",(18),11.99,12.99,/eveline-multifunkcyjny-krem-ekstremalnie-nawilzajacy-do-twarzy-ciala-200ml-000000000000289948.html
Basiclab Complementis,"krem o lekkiej konsystencji do twarzy, 50 ml",(24),109.99,109.99,/basiclab-krem-o-lekkiej-konsystencji-do-twarzy-50-ml-000000000000414917.html
Ziaja Bio Aloes,"krem do twarzy nieperfumowany do cery suchej, wrażliwej i normalnej na dzień i na noc, 50 ml",(2),5.99,5.99,/ziaja-krem-do-twarzy-nieperfumowany-na-dzien-na-noc-50ml-000000000000299168.html
Basiclab Complementis,"krem o bogatej konsystencji do twarzy, 50 ml",(19),109.99,109.99,/basiclab-krem-o-bogatej-konsystencji-do-twarzy-50-ml-000000000000414916.html
Lirene C+E,"odżywczy krem do twarzy, 50 ml",(26),26.99,26.99,/lirene-odzywczy-krem-do-twarzy-50-ml-000000000000401255.html
Miya Cosmetics MyWonderBalm,"krem do twarzy regenerująco- odżywczy z masłem shea, 75 ml",(106),32.99,32.99,/miya-cosmetics-krem-do-twarzy-re-generujaco-odzywczy-z-maslem-shea-75ml-000000000000294707.html
Bielenda B12,"witaminowy krem do twarzy, 50 ml",,17.99,29.99,/bielenda-witaminowy-krem-do-twarzy-50-ml-000000000000450268.html
Bielenda Złote Ceramidy,"krem przeciwzmarszczkowy na dzień i noc do twarzy 60+, 50 ml",(14),18.19,24.99,/bielenda-krem-przeciwzmarszczkowy-na-dzien-i-noc-do-twarzy-60-50-ml-000000000000401248.html
Bandi Boost Care,"krem rozjaśniający z kurkumą do twarzy, 50 ml",(1),29.99,29.99,/bandi-krem-rozjasniajacy-z-kurkuma-do-twarzy-50-ml-000000000000436322.html
Bandi Medical Expert,"przeciwstarzeniowy krem do twarzy SPF50, 50 ml",(43),91.99,91.99,/bandi-przeciwstarzeniowy-krem-do-twarzy-spf50-50-ml-000000000000390631.html
Nivea Creme,"krem uniwersalny, 150 ml",(13),13.29,13.99,/nivea-krem-uniwersalny-150-ml-000000000000218682.html
Bergamo Hyaluronic Acid,"nawilżający krem do twarzy, 50 g",(18),49.99,49.99,/bergamo-nawilzajacy-krem-do-twarzy-50-g-000000000000411831.html
Pharmaceris A Medic Protection,"krem specjalna ochrona do twarzy i ciała SPF100+, 75 ml",(13),85.99,85.99,/pharmaceris-krem-specjalna-ochrona-do-twarzy-i-ciala-spf100-75-ml-000000000000389541.html
Australian Gold,"krem BB do twarzy light z SPF50, 89 ml",(5),148.99,148.99,/australian-gold-krem-bb-do-twarzy-light-z-spf50-89-ml-000000000000414211.html
Miya Cosmetics MyWonderBalm,"odżywczy krem do twarzy z olejkiem z róży, 75 ml",(221),32.99,32.99,/miya-cosmetics-odzywczy-krem-do-twarzy-z-olejkiem-z-rozy-75ml-000000000000294706.html
Nacomi,"krem do twarzy intensywnie nawilżający i przeciwzmarszczkowy na noc 50+, 50 ml",(36),24.59,40.99,/nacomi-krem-do-twarzy-nawilzajacy-przeciwzmarszczkowy-50ml-000000000000277323.html
